Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0001-0122-0121,Point,121,122,1,1,1,none,none,0,1,0,1,0
1,0002-0110-0109,Point,109,110,1,1,1,none,none,0,2,0,2,0
2,0003-0108-0106,Point,106,108,1,1,1,none,none,0,3,0,3,0
3,0004-0096-0096,Point,96,96,1,1,1,none,none,0,4,0,4,0
4,0005-0091-0093,Point,93,91,1,1,1,none,none,0,5,0,5,0
5,0006-0091-0092,Point,92,91,1,1,1,none,none,0,6,0,6,0
6,0007-0093-0090,Point,90,93,1,1,1,none,none,0,7,0,7,0
7,0008-0088-0091,Point,91,88,1,1,1,none,none,0,8,0,8,0
8,0009-0088-0089,Point,89,88,1,0,1,none,none,0,9,0,9,0
9,0010-0086-0089,Point,89,86,0,0,1,none,none,0,10,0,10,0
